"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"3","AC",1,0.00192737645516922,NA,NA
"4","AD",1,0.00192737645516922,1,0.00770950582067689
"7","AG",3,0.00578212936550767,NA,NA
"10","AJ",2,0.00385475291033845,NA,NA
"12","AL",2,0.00385475291033845,1,0.00770950582067689
"13","AM",2,0.00385475291033845,NA,NA
"18","AS",1,0.00192737645516922,NA,NA
"20","AU",2,0.00385475291033845,NA,NA
"24","AY",1,0.00192737645516922,1,0.00770950582067689
"27","BB",4,0.00770950582067689,1,0.00770950582067689
"30","BE",2,0.00385475291033845,1,0.00770950582067689
"32","BG",3,0.00578212936550767,NA,NA
"33","BH",2,0.00385475291033845,NA,NA
"35","BK",4,0.00770950582067689,2,0.0154190116413538
"38","BN",1,0.00192737645516922,NA,NA
"42","BS",4,0.00770950582067689,2,0.0154190116413538
"44","BU",1,0.00192737645516922,1,0.00770950582067689
"45","BV",2,0.00385475291033845,NA,NA
"46","BW",1,0.00192737645516922,NA,NA
