"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"1","",0,0,0,0
"2","AB",1162,2.23961144090664,279,2.15095212396885
"3","AC",1,0.00192737645516922,NA,NA
"4","AD",1,0.00192737645516922,1,0.00770950582067689
"5","AE",93,0.179246010330738,15,0.115642587310153
"6","AF",8,0.0154190116413538,2,0.0154190116413538
"7","AG",3,0.00578212936550767,NA,NA
"8","AH",127,0.244776809806491,29,0.22357566879963
"9","AI",17,0.0327653997378768,3,0.0231285174620307
"10","AJ",2,0.00385475291033845,NA,NA
"11","AK",14,0.0269832703723691,2,0.0154190116413538
"12","AL",2,0.00385475291033845,1,0.00770950582067689
"13","AM",2,0.00385475291033845,NA,NA
"14","AO",6,0.0115642587310153,NA,NA
"15","AP",232,0.44715133759926,56,0.431732325957906
"16","AQ",320,0.616760465654152,54,0.416313314316552
"17","AR",714,1.37614678899083,194,1.49564412921132
"18","AS",1,0.00192737645516922,NA,NA
"19","AT",32,0.0616760465654152,4,0.0308380232827076
"20","AU",2,0.00385475291033845,NA,NA
"21","AV",35,0.0674581759309228,7,0.0539665407447383
"22","AW",13,0.0250558939171999,6,0.0462570349240614
"23","AX",678,1.30676123660473,152,1.17184488474289
"24","AY",1,0.00192737645516922,1,0.00770950582067689
"25","AZ",40,0.0770950582067689,5,0.0385475291033845
"26","BA",8,0.0154190116413538,NA,NA
"27","BB",4,0.00770950582067689,1,0.00770950582067689
"28","BC",44,0.0848045640274458,8,0.0616760465654152
"29","BD",745,1.43589545910107,196,1.51106314085267
"30","BE",2,0.00385475291033845,1,0.00770950582067689
"31","BF",40,0.0770950582067689,5,0.0385475291033845
"32","BG",3,0.00578212936550767,NA,NA
"33","BH",2,0.00385475291033845,NA,NA
"34","BI",28,0.0539665407447383,7,0.0539665407447383
"35","BK",4,0.00770950582067689,2,0.0154190116413538
"36","BL",176,0.339218256109783,38,0.292961221185722
"37","BM",28,0.0539665407447383,7,0.0539665407447383
"38","BN",1,0.00192737645516922,NA,NA
"39","BO",165,0.318017115102922,46,0.354637267751137
"40","BQ",4138,7.97548377149025,1025,7.90224346619382
"41","BR",301,0.580140313005936,72,0.555084419088736
"42","BS",4,0.00770950582067689,2,0.0154190116413538
"43","BT",118,0.227430421709968,30,0.231285174620307
"44","BU",1,0.00192737645516922,1,0.00770950582067689
"45","BV",2,0.00385475291033845,NA,NA
"46","BW",1,0.00192737645516922,NA,NA
"47","BX",7,0.0134916351861846,1,0.00770950582067689
"48","BY",26,0.0501117878343998,10,0.0770950582067689
"49","BZ",66,0.127206846041169,14,0.107933081489477
"50","CA",871,1.67874489245239,235,1.81173386785907
"51","Other",41593,80.1653688998535,10458,80.626011872639
"52","AA",NA,NA,1,0.00770950582067689
