"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"1","0",50361,97.0646056587773,12607,97.1937398812736
"2","1",1095,2.1104772184103,269,2.07385706576208
"3","2",269,0.518464266440521,54,0.416313314316552
"4","3",84,0.161899622234215,15,0.115642587310153
"5","4",34,0.0655307994757536,8,0.0616760465654152
"6","5",15,0.0289106468275384,8,0.0616760465654152
"7","6",10,0.0192737645516922,3,0.0231285174620307
"8","7",4,0.00770950582067689,2,0.0154190116413538
"9","8",3,0.00578212936550767,NA,NA
"10","9",2,0.00385475291033845,NA,NA
"11","10",2,0.00385475291033845,2,0.0154190116413538
"12","12",1,0.00192737645516922,NA,NA
"13","14",1,0.00192737645516922,NA,NA
"14","26",1,0.00192737645516922,NA,NA
"15","30",1,0.00192737645516922,NA,NA
"16","36",1,0.00192737645516922,NA,NA
"17","17",NA,NA,1,0.00770950582067689
"18","18",NA,NA,1,0.00770950582067689
"19","20",NA,NA,1,0.00770950582067689
