"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"1","0",44901,86.5411302135533,11269,86.8784210932079
"2","1",5627,10.8453473132372,1381,10.6468275383548
"3","2",801,1.54382854059055,198,1.52648215249403
"4","3",305,0.587849818826613,63,0.485698866702644
"5","4",121,0.233212551075476,33,0.254413692082338
"6","5",57,0.109860457944646,15,0.115642587310153
"7","6",39,0.0751676817515997,7,0.0539665407447383
"8","7",18,0.034692776193046,2,0.0154190116413538
"9","8",10,0.0192737645516922,2,0.0154190116413538
"10","9",3,0.00578212936550767,NA,NA
"11","10",1,0.00192737645516922,NA,NA
"12","14",1,0.00192737645516922,NA,NA
"13","11",NA,NA,1,0.00770950582067689
