"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"1","0",25005,48.1940482615064,6164,47.5213938786524
"2","1",16906,32.5842263510909,4229,32.6035001156426
"3","2",5948,11.4640351553465,1552,11.9651530336905
"4","3",2126,4.09760234368977,568,4.37899930614448
"5","4",900,1.7346388096523,226,1.74234831547298
"6","5",412,0.79407909952972,89,0.686146018040244
"7","6",194,0.373911032302829,44,0.339218256109783
"8","7",95,0.183100763241076,24,0.185028139696245
"9","8",76,0.146480610592861,15,0.115642587310153
"10","9",40,0.0770950582067689,14,0.107933081489477
"11","10",45,0.0867319404826151,15,0.115642587310153
"12","11",19,0.0366201526482152,7,0.0539665407447383
"13","12",13,0.0250558939171999,1,0.00770950582067689
"14","13",14,0.0269832703723691,NA,NA
"15","14",10,0.0192737645516922,2,0.0154190116413538
"16","15",10,0.0192737645516922,4,0.0308380232827076
"17","16",7,0.0134916351861846,1,0.00770950582067689
"18","17",7,0.0134916351861846,2,0.0154190116413538
"19","18",4,0.00770950582067689,1,0.00770950582067689
"20","19",3,0.00578212936550767,NA,NA
"21","20",11,0.0212011410068615,4,0.0308380232827076
"22","21",3,0.00578212936550767,NA,NA
"23","22",1,0.00192737645516922,1,0.00770950582067689
"24","23",2,0.00385475291033845,2,0.0154190116413538
"25","24",1,0.00192737645516922,NA,NA
"26","25",5,0.00963688227584612,2,0.0154190116413538
"27","26",6,0.0115642587310153,NA,NA
"28","27",2,0.00385475291033845,NA,NA
"29","30",4,0.00770950582067689,1,0.00770950582067689
"30","32",3,0.00578212936550767,NA,NA
"31","34",2,0.00385475291033845,NA,NA
"32","35",1,0.00192737645516922,1,0.00770950582067689
"33","40",1,0.00192737645516922,NA,NA
"34","42",1,0.00192737645516922,NA,NA
"35","43",1,0.00192737645516922,1,0.00770950582067689
"36","45",1,0.00192737645516922,NA,NA
"37","50",1,0.00192737645516922,NA,NA
"38","54",1,0.00192737645516922,NA,NA
"39","60",1,0.00192737645516922,NA,NA
"40","68",1,0.00192737645516922,NA,NA
"41","99",1,0.00192737645516922,NA,NA
"42","110",NA,NA,1,0.00770950582067689
