"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"1","0",49171,94.7710276771259,12316,94.9502736874566
"2","1",2430,4.68352478606121,590,4.54860843419937
"3","2",183,0.352709891295968,36,0.277542209544368
"4","3",57,0.109860457944646,17,0.131061598951507
"5","4",19,0.0366201526482152,4,0.0308380232827076
"6","5",13,0.0250558939171999,2,0.0154190116413538
"7","6",6,0.0115642587310153,1,0.00770950582067689
"8","7",1,0.00192737645516922,2,0.0154190116413538
"9","8",2,0.00385475291033845,NA,NA
"10","16",1,0.00192737645516922,NA,NA
"11","17",1,0.00192737645516922,NA,NA
"12","9",NA,NA,1,0.00770950582067689
"13","11",NA,NA,1,0.00770950582067689
"14","20",NA,NA,1,0.00770950582067689
