"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"1","0",51293,98.860920514995,12820,98.8358646210778
"2","1",444,0.855755146095135,112,0.863464651915812
"3","2",68,0.131061598951507,21,0.161899622234215
"4","3",34,0.0655307994757536,4,0.0308380232827076
"5","4",23,0.0443296584688921,3,0.0231285174620307
"6","5",6,0.0115642587310153,5,0.0385475291033845
"7","6",5,0.00963688227584612,1,0.00770950582067689
"8","7",5,0.00963688227584612,2,0.0154190116413538
"9","8",1,0.00192737645516922,1,0.00770950582067689
"10","10",1,0.00192737645516922,1,0.00770950582067689
"11","11",1,0.00192737645516922,NA,NA
"12","14",2,0.00385475291033845,NA,NA
"13","15",1,0.00192737645516922,NA,NA
"14","13",NA,NA,1,0.00770950582067689
