"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"1","aol.com",1903,3.66779739418703,502,3.8701719219798
"2","arcor.de",1807,3.48276925449079,448,3.45385860766325
"3","freenet.de",1918,3.69670804101457,483,3.72369131138694
"4","gmail.com",582,1.12173309690849,136,1.04849279161206
"5","gmx.de",10603,20.4359725541593,2680,20.6614755994141
"6","hotmail.de",2068,3.98581450928995,494,3.80849587541439
"7","onlinehome.de",183,0.352709891295968,46,0.354637267751137
"8","other",12300,23.7067303985815,3004,23.1593554853134
"9","posteo.de",890,1.71536504510061,223,1.71921979801095
"10","t-online.de",5958,11.4833089198982,1554,11.9805720453319
"11","web.de",11204,21.594325803716,2760,21.2782360650682
"12","yahoo.com",203,0.391257420399352,51,0.393184796854522
"13","yahoo.de",2265,4.36550767095829,590,4.54860843419937
