"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"1","0",50898,98.0996068152031,12693,97.8567573818518
"2","1",773,1.48986199984581,210,1.61899622234215
"3","2",143,0.275614833089199,59,0.454860843419937
"4","3",34,0.0655307994757536,7,0.0539665407447383
"5","4",16,0.0308380232827076,NA,NA
"6","5",6,0.0115642587310153,1,0.00770950582067689
"7","6",5,0.00963688227584612,1,0.00770950582067689
"8","7",1,0.00192737645516922,NA,NA
"9","8",1,0.00192737645516922,NA,NA
"10","10",1,0.00192737645516922,NA,NA
"11","11",1,0.00192737645516922,NA,NA
"12","13",1,0.00192737645516922,NA,NA
"13","15",1,0.00192737645516922,NA,NA
"14","20",1,0.00192737645516922,NA,NA
"15","21",1,0.00192737645516922,NA,NA
"16","27",1,0.00192737645516922,NA,NA
