"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"1","0",47136,90.8488165908565,11784,90.8488165908565
"2","1",3164,6.09821910415542,779,6.0057050343073
"3","2",884,1.70380078636959,229,1.76547683293501
"4","3",342,0.659162747667875,75,0.578212936550767
"5","4",156,0.300670727006399,51,0.393184796854522
"6","5",60,0.115642587310153,19,0.146480610592861
"7","6",34,0.0655307994757536,9,0.0693855523860921
"8","7",27,0.052039164289569,4,0.0308380232827076
"9","8",14,0.0269832703723691,3,0.0231285174620307
"10","9",8,0.0154190116413538,5,0.0385475291033845
"11","10",9,0.017346388096523,3,0.0231285174620307
"12","11",13,0.0250558939171999,NA,NA
"13","12",2,0.00385475291033845,NA,NA
"14","13",3,0.00578212936550767,2,0.0154190116413538
"15","14",7,0.0134916351861846,3,0.0231285174620307
"16","15",2,0.00385475291033845,NA,NA
"17","16",1,0.00192737645516922,NA,NA
"18","17",2,0.00385475291033845,1,0.00770950582067689
"19","19",3,0.00578212936550767,NA,NA
"20","20",5,0.00963688227584612,NA,NA
"21","23",1,0.00192737645516922,NA,NA
"22","24",1,0.00192737645516922,1,0.00770950582067689
"23","25",1,0.00192737645516922,NA,NA
"24","26",3,0.00578212936550767,NA,NA
"25","28",1,0.00192737645516922,NA,NA
"26","29",1,0.00192737645516922,NA,NA
"27","30",2,0.00385475291033845,NA,NA
"28","36",1,0.00192737645516922,NA,NA
"29","48",1,0.00192737645516922,NA,NA
"30","21",NA,NA,1,0.00770950582067689
"31","22",NA,NA,1,0.00770950582067689
"32","34",NA,NA,1,0.00770950582067689
