"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"1","1",28187,54.3269601418549,6981,53.8200601341454
"2","2",10951,21.1066995605582,2798,21.571197286254
"3","3",6174,11.8996222342148,1564,12.0576671035387
"4","4",3030,5.83995065916275,746,5.75129134222496
"5","5",1469,2.83131601264359,368,2.8370981420091
"6","6",809,1.5592475522319,196,1.51106314085267
"7","7",469,0.903939557474366,121,0.932850204301904
"8","8",271,0.52231901935086,71,0.547374913268059
"9","9",165,0.318017115102922,51,0.393184796854522
"10","10",102,0.196592398427261,24,0.185028139696245
"11","11",68,0.131061598951507,14,0.107933081489477
"12","12",51,0.0982961992136304,12,0.0925140698481227
"13","13",40,0.0770950582067689,3,0.0231285174620307
"14","14",20,0.0385475291033845,4,0.0308380232827076
"15","15",17,0.0327653997378768,4,0.0308380232827076
"16","16",12,0.0231285174620307,6,0.0462570349240614
"17","17",7,0.0134916351861846,2,0.0154190116413538
"18","18",10,0.0192737645516922,NA,NA
"19","19",7,0.0134916351861846,2,0.0154190116413538
"20","20",6,0.0115642587310153,1,0.00770950582067689
"21","21",2,0.00385475291033845,NA,NA
"22","22",2,0.00385475291033845,NA,NA
"23","23",3,0.00578212936550767,1,0.00770950582067689
"24","24",2,0.00385475291033845,NA,NA
"25","26",1,0.00192737645516922,NA,NA
"26","27",4,0.00770950582067689,NA,NA
"27","29",1,0.00192737645516922,NA,NA
"28","30",1,0.00192737645516922,1,0.00770950582067689
"29","33",1,0.00192737645516922,NA,NA
"30","45",1,0.00192737645516922,NA,NA
"31","50",1,0.00192737645516922,NA,NA
"32","25",NA,NA,1,0.00770950582067689
