"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"1","0",51179,98.6411995991057,12821,98.8435741268985
"2","1",511,0.984889368591473,114,0.878883663557166
"3","2",123,0.237067303985815,19,0.146480610592861
"4","3",41,0.0790224346619382,10,0.0770950582067689
"5","4",15,0.0289106468275384,3,0.0231285174620307
"6","5",4,0.00770950582067689,2,0.0154190116413538
"7","6",3,0.00578212936550767,1,0.00770950582067689
"8","7",1,0.00192737645516922,1,0.00770950582067689
"9","8",2,0.00385475291033845,NA,NA
"10","9",1,0.00192737645516922,NA,NA
"11","11",1,0.00192737645516922,NA,NA
"12","13",1,0.00192737645516922,NA,NA
"13","25",1,0.00192737645516922,NA,NA
"14","55",1,0.00192737645516922,NA,NA
