"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"1","0",41785,80.535425179246,10436,80.4564027445841
"2","1",5491,10.5832241153342,1400,10.7933081489477
"3","2",2209,4.25757458946882,542,4.17855215480688
"4","3",1293,2.49209775653381,311,2.39765631023051
"5","4",553,1.06583917970858,141,1.08704032071544
"6","5",208,0.400894302675199,66,0.508827384164675
"7","6",119,0.229357798165138,22,0.169609128054892
"8","7",67,0.129134222496338,11,0.0848045640274458
"9","8",37,0.0713129288412613,7,0.0539665407447383
"10","9",11,0.0212011410068615,6,0.0462570349240614
"11","10",20,0.0385475291033845,3,0.0231285174620307
"12","11",10,0.0192737645516922,2,0.0154190116413538
"13","12",6,0.0115642587310153,3,0.0231285174620307
"14","13",6,0.0115642587310153,1,0.00770950582067689
"15","14",8,0.0154190116413538,1,0.00770950582067689
"16","15",6,0.0115642587310153,2,0.0154190116413538
"17","16",3,0.00578212936550767,3,0.0231285174620307
"18","17",6,0.0115642587310153,NA,NA
"19","18",2,0.00385475291033845,NA,NA
"20","19",7,0.0134916351861846,1,0.00770950582067689
"21","20",2,0.00385475291033845,2,0.0154190116413538
"22","21",4,0.00770950582067689,3,0.0231285174620307
"23","22",5,0.00963688227584612,NA,NA
"24","23",5,0.00963688227584612,1,0.00770950582067689
"25","24",2,0.00385475291033845,1,0.00770950582067689
"26","25",2,0.00385475291033845,NA,NA
"27","26",4,0.00770950582067689,1,0.00770950582067689
"28","27",1,0.00192737645516922,NA,NA
"29","28",2,0.00385475291033845,1,0.00770950582067689
"30","29",3,0.00578212936550767,2,0.0154190116413538
"31","30",3,0.00578212936550767,NA,NA
"32","34",1,0.00192737645516922,NA,NA
"33","42",1,0.00192737645516922,NA,NA
"34","70",1,0.00192737645516922,NA,NA
"35","84",1,0.00192737645516922,NA,NA
"36","33",NA,NA,2,0.0154190116413538
