"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"1","",49608,95.6132911880349,NA,NA
"2","0",1,0.00192737645516922,NA,NA
"3","00",1,0.00192737645516922,NA,NA
"4","01",21,0.0404749055585537,NA,NA
"5","02",5,0.00963688227584612,NA,NA
"6","03",6,0.0115642587310153,NA,NA
"7","04",14,0.0269832703723691,NA,NA
"8","06",19,0.0366201526482152,NA,NA
"9","07",8,0.0154190116413538,NA,NA
"10","08",9,0.017346388096523,NA,NA
"11","09",5,0.00963688227584612,NA,NA
"12","10",68,0.131061598951507,14,0.107933081489477
"13","11",1,0.00192737645516922,NA,NA
"14","12",29,0.0558939171999075,9,0.0693855523860921
"15","13",18,0.034692776193046,7,0.0539665407447383
"16","14",26,0.0501117878343998,11,0.0848045640274458
"17","15",6,0.0115642587310153,3,0.0231285174620307
"18","16",6,0.0115642587310153,1,0.00770950582067689
"19","17",10,0.0192737645516922,2,0.0154190116413538
"20","18",9,0.017346388096523,2,0.0154190116413538
"21","19",12,0.0231285174620307,1,0.00770950582067689
"22","20",29,0.0558939171999075,9,0.0693855523860921
"23","21",31,0.0597486701102459,5,0.0385475291033845
"24","22",72,0.138771104772184,14,0.107933081489477
"25","23",29,0.0558939171999075,7,0.0539665407447383
"26","24",30,0.0578212936550767,9,0.0693855523860921
"27","25",13,0.0250558939171999,1,0.00770950582067689
"28","26",22,0.0424022820137229,4,0.0308380232827076
"29","27",11,0.0212011410068615,1,0.00770950582067689
"30","28",21,0.0404749055585537,4,0.0308380232827076
"31","29",8,0.0154190116413538,3,0.0231285174620307
"32","30",53,0.102150952123969,16,0.12335209313083
"33","31",20,0.0385475291033845,8,0.0616760465654152
"34","32",19,0.0366201526482152,4,0.0308380232827076
"35","33",28,0.0539665407447383,10,0.0770950582067689
"36","34",11,0.0212011410068615,7,0.0539665407447383
"37","35",14,0.0269832703723691,4,0.0308380232827076
"38","36",9,0.017346388096523,2,0.0154190116413538
"39","37",10,0.0192737645516922,3,0.0231285174620307
"40","38",22,0.0424022820137229,8,0.0616760465654152
"41","39",6,0.0115642587310153,2,0.0154190116413538
"42","40",76,0.146480610592861,16,0.12335209313083
"43","41",64,0.12335209313083,9,0.0693855523860921
"44","42",28,0.0539665407447383,6,0.0462570349240614
"45","44",75,0.144553234137692,28,0.215866162978953
"46","45",80,0.154190116413538,17,0.131061598951507
"47","46",18,0.034692776193046,6,0.0462570349240614
"48","47",55,0.106005705034307,11,0.0848045640274458
"49","48",21,0.0404749055585537,5,0.0385475291033845
"50","49",15,0.0289106468275384,3,0.0231285174620307
"51","50",97,0.186955516151415,30,0.231285174620307
"52","51",44,0.0848045640274458,9,0.0693855523860921
"53","52",71,0.136843728317015,13,0.1002235756688
"54","53",57,0.109860457944646,14,0.107933081489477
"55","54",9,0.017346388096523,3,0.0231285174620307
"56","55",34,0.0655307994757536,6,0.0462570349240614
"57","56",21,0.0404749055585537,1,0.00770950582067689
"58","57",7,0.0134916351861846,1,0.00770950582067689
"59","58",18,0.034692776193046,6,0.0462570349240614
"60","59",28,0.0539665407447383,8,0.0616760465654152
"61","60",36,0.0693855523860921,16,0.12335209313083
"62","61",14,0.0269832703723691,2,0.0154190116413538
"63","63",23,0.0443296584688921,7,0.0539665407447383
"64","64",28,0.0539665407447383,7,0.0539665407447383
"65","65",36,0.0693855523860921,11,0.0848045640274458
"66","66",17,0.0327653997378768,5,0.0385475291033845
"67","67",20,0.0385475291033845,5,0.0385475291033845
"68","68",11,0.0212011410068615,5,0.0385475291033845
"69","69",15,0.0289106468275384,7,0.0539665407447383
"70","70",33,0.0636034230205844,10,0.0770950582067689
"71","71",21,0.0404749055585537,3,0.0231285174620307
"72","72",20,0.0385475291033845,1,0.00770950582067689
"73","73",11,0.0212011410068615,2,0.0154190116413538
"74","74",13,0.0250558939171999,1,0.00770950582067689
"75","75",5,0.00963688227584612,1,0.00770950582067689
"76","76",29,0.0558939171999075,7,0.0539665407447383
"77","77",4,0.00770950582067689,2,0.0154190116413538
"78","78",18,0.034692776193046,5,0.0385475291033845
"79","79",21,0.0404749055585537,4,0.0308380232827076
"80","80",54,0.104078328579138,13,0.1002235756688
"81","81",34,0.0655307994757536,8,0.0616760465654152
"82","82",20,0.0385475291033845,4,0.0308380232827076
"83","83",10,0.0192737645516922,2,0.0154190116413538
"84","84",8,0.0154190116413538,1,0.00770950582067689
"85","85",26,0.0501117878343998,6,0.0462570349240614
"86","86",29,0.0558939171999075,7,0.0539665407447383
"87","87",9,0.017346388096523,NA,NA
"88","88",13,0.0250558939171999,4,0.0308380232827076
"89","89",11,0.0212011410068615,3,0.0231285174620307
"90","90",22,0.0424022820137229,8,0.0616760465654152
"91","91",22,0.0424022820137229,4,0.0308380232827076
"92","92",6,0.0115642587310153,1,0.00770950582067689
"93","93",8,0.0154190116413538,2,0.0154190116413538
"94","94",7,0.0134916351861846,2,0.0154190116413538
"95","95",9,0.017346388096523,1,0.00770950582067689
"96","96",10,0.0192737645516922,2,0.0154190116413538
"97","97",22,0.0424022820137229,9,0.0693855523860921
"98","98",4,0.00770950582067689,NA,NA
"99","99",22,0.0424022820137229,5,0.0385475291033845
"100","EN",1,0.00192737645516922,NA,NA
"101","Nl",1,0.00192737645516922,NA,NA
"102","NW",1,0.00192737645516922,NA,NA
"103","OX",1,0.00192737645516922,NA,NA
"104","TR",1,0.00192737645516922,NA,NA
"105","1",NA,NA,2,0.0154190116413538
"106","2",NA,NA,1,0.00770950582067689
"107","4",NA,NA,1,0.00770950582067689
"108","6",NA,NA,3,0.0231285174620307
"109","7",NA,NA,3,0.0231285174620307
"110","9",NA,NA,3,0.0231285174620307
"111",NA,NA,NA,12412,95.6903862462416
