"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"1","0",49850,96.0797162901858,12483,96.2377611595097
"2","1",1493,2.87757304756765,354,2.72916506051962
"3","2",305,0.587849818826613,70,0.539665407447383
"4","3",113,0.217793539434122,34,0.262123197903014
"5","4",53,0.102150952123969,12,0.0925140698481227
"6","5",32,0.0616760465654152,9,0.0693855523860921
"7","6",12,0.0231285174620307,5,0.0385475291033845
"8","7",11,0.0212011410068615,1,0.00770950582067689
"9","8",3,0.00578212936550767,NA,NA
"10","9",2,0.00385475291033845,NA,NA
"11","10",1,0.00192737645516922,1,0.00770950582067689
"12","11",2,0.00385475291033845,NA,NA
"13","12",1,0.00192737645516922,1,0.00770950582067689
"14","14",4,0.00770950582067689,NA,NA
"15","16",1,0.00192737645516922,NA,NA
"16","19",1,0.00192737645516922,NA,NA
"17","25",NA,NA,1,0.00770950582067689
