"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"1","0",46013,88.6843728317015,11511,88.7441215018117
"2","1",2861,5.51422403823915,711,5.48145863850127
"3","2",1277,2.4612597332511,327,2.52100840336134
"4","3",593,1.14293423791535,135,1.04078328579138
"5","4",418,0.805643358260736,109,0.840336134453782
"6","5",242,0.466425102150952,62,0.477989360881967
"7","6",176,0.339218256109783,28,0.215866162978953
"8","7",108,0.208156657158276,27,0.208156657158276
"9","8",57,0.109860457944646,19,0.146480610592861
"10","9",29,0.0558939171999075,8,0.0616760465654152
"11","10",23,0.0443296584688921,6,0.0462570349240614
"12","11",7,0.0134916351861846,7,0.0539665407447383
"13","12",16,0.0308380232827076,NA,NA
"14","13",10,0.0192737645516922,2,0.0154190116413538
"15","14",6,0.0115642587310153,1,0.00770950582067689
"16","15",1,0.00192737645516922,4,0.0308380232827076
"17","16",3,0.00578212936550767,NA,NA
"18","17",1,0.00192737645516922,NA,NA
"19","18",2,0.00385475291033845,2,0.0154190116413538
"20","19",2,0.00385475291033845,NA,NA
"21","20",2,0.00385475291033845,1,0.00770950582067689
"22","21",1,0.00192737645516922,NA,NA
"23","22",3,0.00578212936550767,1,0.00770950582067689
"24","23",3,0.00578212936550767,NA,NA
"25","24",3,0.00578212936550767,2,0.0154190116413538
"26","25",3,0.00578212936550767,1,0.00770950582067689
"27","26",3,0.00578212936550767,NA,NA
"28","27",3,0.00578212936550767,NA,NA
"29","28",2,0.00385475291033845,NA,NA
"30","29",2,0.00385475291033845,1,0.00770950582067689
"31","30",2,0.00385475291033845,1,0.00770950582067689
"32","32",1,0.00192737645516922,NA,NA
"33","36",1,0.00192737645516922,NA,NA
"34","37",1,0.00192737645516922,NA,NA
"35","40",1,0.00192737645516922,NA,NA
"36","41",1,0.00192737645516922,NA,NA
"37","51",1,0.00192737645516922,NA,NA
"38","52",1,0.00192737645516922,NA,NA
"39","54",1,0.00192737645516922,1,0.00770950582067689
"40","56",2,0.00385475291033845,NA,NA
"41","66",1,0.00192737645516922,NA,NA
"42","90",1,0.00192737645516922,NA,NA
"43","31",NA,NA,1,0.00770950582067689
"44","33",NA,NA,1,0.00770950582067689
"45","60",NA,NA,1,0.00770950582067689
"46","79",NA,NA,1,0.00770950582067689
