"","Observed Value","traintest NObs","traintest %","handin NObs","handin %"
"1","0",49791,95.9660010793308,12470,96.1375375838409
"2","1",1493,2.87757304756765,359,2.76771258962301
"3","2",269,0.518464266440521,58,0.44715133759926
"4","3",123,0.237067303985815,31,0.238994680440984
"5","4",89,0.171536504510061,24,0.185028139696245
"6","5",41,0.0790224346619382,18,0.138771104772184
"7","6",30,0.0578212936550767,2,0.0154190116413538
"8","7",13,0.0250558939171999,5,0.0385475291033845
"9","8",14,0.0269832703723691,3,0.0231285174620307
"10","9",5,0.00963688227584612,1,0.00770950582067689
"11","10",6,0.0115642587310153,NA,NA
"12","11",2,0.00385475291033845,NA,NA
"13","12",1,0.00192737645516922,NA,NA
"14","13",3,0.00578212936550767,NA,NA
"15","17",1,0.00192737645516922,NA,NA
"16","18",2,0.00385475291033845,NA,NA
"17","19",1,0.00192737645516922,NA,NA
