"","Observed_Value","traintest NObs","traintest %","handin NObs","handin %"
"1","0",8225,15.8526713437669,2044,15.7582298974636
"2","1",29053,55.9960681520315,7165,55.2386092051499
"3","2",5464,10.5311849510446,1364,10.5157659394033
"4","3",1412,2.72145555469894,368,2.8370981420091
"5","4",640,1.2335209313083,130,1.002235756688
"6","5",488,0.940559710122581,111,0.855755146095135
"7","6",376,0.724693547143628,123,0.948269215943258
"8","7",309,0.59555932464729,95,0.732403052964305
"9","8",322,0.62061521856449,74,0.57050343073009
"10","9",270,0.52039164289569,93,0.716984041322951
"11","10",306,0.589777195281782,75,0.578212936550767
"12","11",306,0.589777195281782,72,0.555084419088736
"13","12",327,0.630252100840336,88,0.678436512219567
"14","13",284,0.547374913268059,79,0.609050959833475
"15","14",310,0.597486701102459,75,0.578212936550767
"16","15",257,0.49533574897849,78,0.601341454012798
"17","16",211,0.406676432040706,54,0.416313314316552
"18","17",137,0.264050574358184,43,0.331508750289106
"19","18",131,0.252486315627168,35,0.269832703723691
"20","19",103,0.19851977488243,19,0.146480610592861
"21","20",92,0.177318633875569,22,0.169609128054892
"22","21",75,0.144553234137692,24,0.185028139696245
"23","22",81,0.156117492868707,24,0.185028139696245
"24","23",83,0.159972245779046,24,0.185028139696245
"25","24",63,0.121424716675661,27,0.208156657158276
"26","25",50,0.0963688227584612,20,0.154190116413538
"27","26",50,0.0963688227584612,14,0.107933081489477
"28","27",53,0.102150952123969,9,0.0693855523860921
"29","28",50,0.0963688227584612,9,0.0693855523860921
"30","29",55,0.106005705034307,15,0.115642587310153
"31","30",54,0.104078328579138,11,0.0848045640274458
"32","31",45,0.0867319404826151,14,0.107933081489477
"33","32",60,0.115642587310153,15,0.115642587310153
"34","33",49,0.094441446303292,19,0.146480610592861
"35","34",44,0.0848045640274458,6,0.0462570349240614
"36","35",38,0.0732403052964305,13,0.1002235756688
"37","36",39,0.0751676817515997,13,0.1002235756688
"38","37",37,0.0713129288412613,11,0.0848045640274458
"39","38",36,0.0693855523860921,7,0.0539665407447383
"40","39",34,0.0655307994757536,6,0.0462570349240614
"41","40",34,0.0655307994757536,10,0.0770950582067689
"42","41",29,0.0558939171999075,5,0.0385475291033845
"43","42",35,0.0674581759309228,7,0.0539665407447383
"44","43",33,0.0636034230205844,6,0.0462570349240614
"45","44",28,0.0539665407447383,8,0.0616760465654152
"46","45",28,0.0539665407447383,5,0.0385475291033845
"47","46",128,0.246704186261661,43,0.331508750289106
"48","47",235,0.452933466964768,55,0.424022820137229
"49","48",116,0.22357566879963,45,0.34692776193046
"50","49",69,0.132988975406676,14,0.107933081489477
"51","50",30,0.0578212936550767,8,0.0616760465654152
"52","51",21,0.0404749055585537,7,0.0539665407447383
"53","52",17,0.0327653997378768,4,0.0308380232827076
"54","53",14,0.0269832703723691,3,0.0231285174620307
"55","54",15,0.0289106468275384,2,0.0154190116413538
"56","55",15,0.0289106468275384,3,0.0231285174620307
"57","56",20,0.0385475291033845,2,0.0154190116413538
"58","57",17,0.0327653997378768,3,0.0231285174620307
"59","58",5,0.00963688227584612,4,0.0308380232827076
"60","59",14,0.0269832703723691,2,0.0154190116413538
"61","60",7,0.0134916351861846,2,0.0154190116413538
"62","61",9,0.017346388096523,3,0.0231285174620307
"63","62",12,0.0231285174620307,NA,NA
"64","63",12,0.0231285174620307,5,0.0385475291033845
"65","64",11,0.0212011410068615,1,0.00770950582067689
"66","65",14,0.0269832703723691,2,0.0154190116413538
"67","66",14,0.0269832703723691,4,0.0308380232827076
"68","67",9,0.017346388096523,3,0.0231285174620307
"69","68",11,0.0212011410068615,4,0.0308380232827076
"70","69",2,0.00385475291033845,NA,NA
"71","70",9,0.017346388096523,2,0.0154190116413538
"72","71",10,0.0192737645516922,1,0.00770950582067689
"73","72",11,0.0212011410068615,3,0.0231285174620307
"74","73",8,0.0154190116413538,1,0.00770950582067689
"75","74",14,0.0269832703723691,4,0.0308380232827076
"76","75",10,0.0192737645516922,3,0.0231285174620307
"77","76",8,0.0154190116413538,2,0.0154190116413538
"78","77",5,0.00963688227584612,4,0.0308380232827076
"79","78",11,0.0212011410068615,1,0.00770950582067689
"80","79",8,0.0154190116413538,4,0.0308380232827076
"81","80",11,0.0212011410068615,2,0.0154190116413538
"82","81",7,0.0134916351861846,NA,NA
"83","82",9,0.017346388096523,3,0.0231285174620307
"84","83",4,0.00770950582067689,1,0.00770950582067689
"85","84",12,0.0231285174620307,3,0.0231285174620307
"86","85",11,0.0212011410068615,6,0.0462570349240614
