"","Observed_Value","traintest NObs","traintest %","handin NObs","handin %"
"1","0",2738,5.27715673425333,659,5.08056433582607
"2","1",24262,46.7620075553157,6001,46.264744429882
"3","2",11649,22.4520083262663,3030,23.359802636651
"4","3",6035,11.6317169069463,1502,11.5796777426567
"5","4",3038,5.8553696708041,753,5.8052578829697
"6","5",1491,2.87371829465731,358,2.76000308380233
"7","6",890,1.71536504510061,201,1.54961066995606
"8","7",485,0.934777580757074,132,1.01765476832935
"9","8",354,0.682291265129905,76,0.585922442371444
"10","9",185,0.356564644206306,62,0.477989360881967
"11","10",175,0.337290879654614,57,0.439441831778583
"12","11",100,0.192737645516922,24,0.185028139696245
"13","12",88,0.169609128054892,15,0.115642587310153
"14","13",57,0.109860457944646,9,0.0693855523860921
"15","14",46,0.0886593169377843,15,0.115642587310153
"16","15",26,0.0501117878343998,10,0.0770950582067689
"17","16",29,0.0558939171999075,10,0.0770950582067689
"18","17",18,0.034692776193046,3,0.0231285174620307
"19","18",23,0.0443296584688921,3,0.0231285174620307
"20","19",21,0.0404749055585537,4,0.0308380232827076
"21","20",21,0.0404749055585537,8,0.0616760465654152
"22","21",10,0.0192737645516922,5,0.0385475291033845
"23","22",10,0.0192737645516922,4,0.0308380232827076
"24","23",14,0.0269832703723691,3,0.0231285174620307
"25","24",10,0.0192737645516922,5,0.0385475291033845
"26","25",15,0.0289106468275384,2,0.0154190116413538
"27","26",17,0.0327653997378768,1,0.00770950582067689
"28","27",10,0.0192737645516922,NA,NA
"29","28",6,0.0115642587310153,NA,NA
"30","29",7,0.0134916351861846,2,0.0154190116413538
"31","30",11,0.0212011410068615,4,0.0308380232827076
"32","32",2,0.00385475291033845,NA,NA
"33","33",1,0.00192737645516922,2,0.0154190116413538
"34","34",3,0.00578212936550767,2,0.0154190116413538
"35","35",3,0.00578212936550767,1,0.00770950582067689
"36","36",3,0.00578212936550767,1,0.00770950582067689
"37","37",1,0.00192737645516922,NA,NA
"38","38",3,0.00578212936550767,NA,NA
"39","40",2,0.00385475291033845,NA,NA
"40","41",1,0.00192737645516922,NA,NA
"41","42",1,0.00192737645516922,NA,NA
"42","43",1,0.00192737645516922,1,0.00770950582067689
"43","45",2,0.00385475291033845,NA,NA
"44","48",1,0.00192737645516922,NA,NA
"45","50",4,0.00770950582067689,1,0.00770950582067689
"46","52",1,0.00192737645516922,NA,NA
"47","54",2,0.00385475291033845,1,0.00770950582067689
"48","55",2,0.00385475291033845,NA,NA
"49","56",1,0.00192737645516922,NA,NA
"50","60",1,0.00192737645516922,1,0.00770950582067689
"51","62",1,0.00192737645516922,NA,NA
"52","68",1,0.00192737645516922,NA,NA
"53","70",1,0.00192737645516922,NA,NA
"54","82",1,0.00192737645516922,NA,NA
"55","84",1,0.00192737645516922,NA,NA
"56","90",1,0.00192737645516922,NA,NA
"57","93",1,0.00192737645516922,NA,NA
"58","98",1,0.00192737645516922,NA,NA
"59","31",NA,NA,1,0.00770950582067689
"60","79",NA,NA,1,0.00770950582067689
"61","110",NA,NA,1,0.00770950582067689
