"","Observed_Value","traintest NObs","traintest %","handin NObs","handin %"
"1","2013-01",293,0.564721301364583,83,0.639888983116182
"2","2013-14",1323,2.54991905018888,343,2.64436049649217
"3","2013-15",1342,2.5865392028371,334,2.57497494410608
"4","2013-16",1349,2.60003083802328,328,2.52871790918202
"5","2013-17",1143,2.20299128825842,298,2.29743273456171
"6","2013-18",998,1.92352170225889,253,1.95050497263125
"7","2013-19",875,1.68645439827307,195,1.50335363503199
"8","2013-20",1013,1.95243234908642,264,2.0353095366587
"9","2013-21",1012,1.95050497263125,256,1.97363349009329
"10","2013-22",984,1.89653843188652,254,1.95821447845193
"11","2013-23",1068,2.05843805412073,238,1.8348623853211
"12","2013-24",1246,2.40151106314085,295,2.27430421709968
"13","2013-25",1144,2.20491866471359,268,2.06614755994141
"14","2013-26",1164,2.24346619381698,299,2.30514224038239
"15","2013-27",1087,2.09505820676895,273,2.10469508904479
"16","2013-28",1122,2.16251638269987,264,2.0353095366587
"17","2013-29",1151,2.21841029989978,293,2.25888520545833
"18","2013-30",1112,2.14324261814818,309,2.38223729858916
"19","2013-31",1291,2.48824300362347,334,2.57497494410608
"20","2013-32",1419,2.73494718988513,321,2.47475136843728
"21","2013-33",1437,2.76963996607817,382,2.94503122349857
"22","2013-34",1347,2.59617608511294,337,2.59810346156811
"23","2013-35",1327,2.55762855600956,317,2.44391334515458
"24","2013-36",1362,2.62508673194048,371,2.86022665947113
"25","2013-37",1223,2.35718140467196,276,2.12782360650682
"26","2013-38",1370,2.64050574358184,348,2.68290802559556
"27","2013-39",1340,2.58268444992676,294,2.26659471127901
"28","2013-40",1161,2.23768406445147,287,2.21262817053427
"29","2013-41",1168,2.25117569963765,299,2.30514224038239
"30","2013-42",1374,2.64821524940251,348,2.68290802559556
"31","2013-43",1329,2.5614833089199,341,2.62894148485082
"32","2013-44",1251,2.4111479454167,280,2.15866162978953
"33","2013-45",1325,2.55377380309922,350,2.69832703723691
"34","2013-46",1330,2.56341068537507,332,2.55955593246473
"35","2013-47",1456,2.80626011872639,391,3.01441677588467
"36","2013-48",1557,3.00092514069848,399,3.07609282245008
"37","2013-49",2131,4.10723922596562,534,4.11687610824146
"38","2013-50",2381,4.58908333975792,609,4.69508904479223
"39","2013-51",2411,4.646904633413,598,4.61028448076478
"40","2013-52",1162,2.23961144090664,279,2.15095212396885
"41","2014",306,0.589777195281782,97,0.747822064605659
