"","Observed_Value","traintest NObs","traintest %","handin NObs","handin %"
"1","0",49753,95.8927607740344,12451,95.991056973248
"2","1",592,1.14100686146018,131,1.00994526250867
"3","2",177,0.341145632564953,35,0.269832703723691
"4","3",107,0.206229280703107,24,0.185028139696245
"5","4",73,0.140698481227353,17,0.131061598951507
"6","5",67,0.129134222496338,25,0.192737645516922
"7","6",67,0.129134222496338,18,0.138771104772184
"8","7",54,0.104078328579138,17,0.131061598951507
"9","8",39,0.0751676817515997,8,0.0616760465654152
"10","9",26,0.0501117878343998,7,0.0539665407447383
"11","10",36,0.0693855523860921,9,0.0693855523860921
"12","11",16,0.0308380232827076,6,0.0462570349240614
"13","12",25,0.0481844113792306,7,0.0539665407447383
"14","13",25,0.0481844113792306,4,0.0308380232827076
"15","14",31,0.0597486701102459,5,0.0385475291033845
"16","15",19,0.0366201526482152,6,0.0462570349240614
"17","16",17,0.0327653997378768,5,0.0385475291033845
"18","17",15,0.0289106468275384,4,0.0308380232827076
"19","18",14,0.0269832703723691,7,0.0539665407447383
"20","19",15,0.0289106468275384,4,0.0308380232827076
"21","20",12,0.0231285174620307,2,0.0154190116413538
"22","21",11,0.0212011410068615,2,0.0154190116413538
"23","22",13,0.0250558939171999,4,0.0308380232827076
"24","23",13,0.0250558939171999,4,0.0308380232827076
"25","24",13,0.0250558939171999,1,0.00770950582067689
"26","25",6,0.0115642587310153,4,0.0308380232827076
"27","26",10,0.0192737645516922,3,0.0231285174620307
"28","27",7,0.0134916351861846,2,0.0154190116413538
"29","28",14,0.0269832703723691,4,0.0308380232827076
"30","29",6,0.0115642587310153,NA,NA
"31","30",6,0.0115642587310153,NA,NA
"32","31",9,0.017346388096523,1,0.00770950582067689
"33","32",8,0.0154190116413538,2,0.0154190116413538
"34","33",5,0.00963688227584612,NA,NA
"35","34",4,0.00770950582067689,NA,NA
"36","35",12,0.0231285174620307,NA,NA
"37","36",7,0.0134916351861846,3,0.0231285174620307
"38","37",6,0.0115642587310153,NA,NA
"39","38",10,0.0192737645516922,1,0.00770950582067689
"40","39",11,0.0212011410068615,1,0.00770950582067689
"41","40",8,0.0154190116413538,2,0.0154190116413538
"42","41",4,0.00770950582067689,1,0.00770950582067689
"43","42",9,0.017346388096523,NA,NA
"44","43",8,0.0154190116413538,1,0.00770950582067689
"45","44",8,0.0154190116413538,1,0.00770950582067689
"46","45",6,0.0115642587310153,3,0.0231285174620307
"47","46",9,0.017346388096523,2,0.0154190116413538
"48","47",5,0.00963688227584612,2,0.0154190116413538
"49","48",3,0.00578212936550767,2,0.0154190116413538
"50","49",2,0.00385475291033845,3,0.0231285174620307
"51","50",9,0.017346388096523,2,0.0154190116413538
"52","51",10,0.0192737645516922,1,0.00770950582067689
"53","52",4,0.00770950582067689,4,0.0308380232827076
"54","53",2,0.00385475291033845,2,0.0154190116413538
"55","54",8,0.0154190116413538,2,0.0154190116413538
"56","55",3,0.00578212936550767,1,0.00770950582067689
"57","56",6,0.0115642587310153,2,0.0154190116413538
"58","57",14,0.0269832703723691,1,0.00770950582067689
"59","58",2,0.00385475291033845,1,0.00770950582067689
"60","59",1,0.00192737645516922,2,0.0154190116413538
"61","60",5,0.00963688227584612,NA,NA
"62","61",4,0.00770950582067689,3,0.0231285174620307
"63","62",2,0.00385475291033845,3,0.0231285174620307
"64","63",2,0.00385475291033845,2,0.0154190116413538
"65","64",3,0.00578212936550767,4,0.0308380232827076
"66","65",6,0.0115642587310153,3,0.0231285174620307
"67","66",4,0.00770950582067689,NA,NA
"68","67",4,0.00770950582067689,NA,NA
"69","68",4,0.00770950582067689,NA,NA
"70","69",6,0.0115642587310153,2,0.0154190116413538
"71","70",8,0.0154190116413538,3,0.0231285174620307
"72","71",3,0.00578212936550767,NA,NA
"73","72",3,0.00578212936550767,2,0.0154190116413538
"74","73",4,0.00770950582067689,1,0.00770950582067689
"75","74",2,0.00385475291033845,1,0.00770950582067689
"76","75",4,0.00770950582067689,1,0.00770950582067689
"77","76",8,0.0154190116413538,1,0.00770950582067689
"78","77",3,0.00578212936550767,1,0.00770950582067689
"79","78",4,0.00770950582067689,1,0.00770950582067689
"80","79",6,0.0115642587310153,1,0.00770950582067689
"81","80",5,0.00963688227584612,1,0.00770950582067689
"82","81",2,0.00385475291033845,NA,NA
"83","82",3,0.00578212936550767,2,0.0154190116413538
"84","83",5,0.00963688227584612,3,0.0231285174620307
"85","84",1,0.00192737645516922,3,0.0231285174620307
"86","85",4,0.00770950582067689,2,0.0154190116413538
"87","86",4,0.00770950582067689,NA,NA
"88","87",1,0.00192737645516922,NA,NA
"89","88",3,0.00578212936550767,NA,NA
"90","90",1,0.00192737645516922,2,0.0154190116413538
"91","91",4,0.00770950582067689,1,0.00770950582067689
"92","94",4,0.00770950582067689,1,0.00770950582067689
"93","95",4,0.00770950582067689,NA,NA
"94","96",4,0.00770950582067689,NA,NA
"95","97",2,0.00385475291033845,NA,NA
"96","98",3,0.00578212936550767,NA,NA
"97","99",7,0.0134916351861846,2,0.0154190116413538
"98","100",3,0.00578212936550767,NA,NA
"99","101",8,0.0154190116413538,1,0.00770950582067689
"100","102",3,0.00578212936550767,2,0.0154190116413538
"101","103",4,0.00770950582067689,1,0.00770950582067689
"102","104",4,0.00770950582067689,NA,NA
"103","105",4,0.00770950582067689,NA,NA
"104","106",2,0.00385475291033845,1,0.00770950582067689
"105","107",4,0.00770950582067689,1,0.00770950582067689
"106","108",3,0.00578212936550767,2,0.0154190116413538
"107","109",4,0.00770950582067689,NA,NA
"108","110",2,0.00385475291033845,1,0.00770950582067689
"109","111",5,0.00963688227584612,2,0.0154190116413538
"110","112",1,0.00192737645516922,1,0.00770950582067689
"111","113",5,0.00963688227584612,2,0.0154190116413538
"112","114",3,0.00578212936550767,NA,NA
"113","115",1,0.00192737645516922,1,0.00770950582067689
"114","117",4,0.00770950582067689,NA,NA
"115","118",3,0.00578212936550767,NA,NA
"116","119",2,0.00385475291033845,1,0.00770950582067689
"117","120",1,0.00192737645516922,NA,NA
"118","121",5,0.00963688227584612,2,0.0154190116413538
"119","122",4,0.00770950582067689,NA,NA
"120","123",4,0.00770950582067689,NA,NA
"121","124",4,0.00770950582067689,1,0.00770950582067689
"122","125",3,0.00578212936550767,1,0.00770950582067689
"123","126",3,0.00578212936550767,NA,NA
"124","127",5,0.00963688227584612,NA,NA
"125","128",2,0.00385475291033845,NA,NA
"126","129",4,0.00770950582067689,NA,NA
"127","130",3,0.00578212936550767,1,0.00770950582067689
"128","132",1,0.00192737645516922,2,0.0154190116413538
"129","133",1,0.00192737645516922,1,0.00770950582067689
"130","134",6,0.0115642587310153,NA,NA
"131","135",4,0.00770950582067689,NA,NA
"132","136",1,0.00192737645516922,1,0.00770950582067689
"133","137",1,0.00192737645516922,NA,NA
"134","138",2,0.00385475291033845,NA,NA
"135","140",1,0.00192737645516922,1,0.00770950582067689
"136","141",1,0.00192737645516922,NA,NA
"137","142",2,0.00385475291033845,2,0.0154190116413538
"138","143",2,0.00385475291033845,NA,NA
"139","144",3,0.00578212936550767,NA,NA
"140","145",2,0.00385475291033845,1,0.00770950582067689
"141","146",1,0.00192737645516922,NA,NA
"142","147",2,0.00385475291033845,NA,NA
"143","148",2,0.00385475291033845,1,0.00770950582067689
"144","149",2,0.00385475291033845,NA,NA
"145","150",3,0.00578212936550767,1,0.00770950582067689
"146","152",2,0.00385475291033845,1,0.00770950582067689
"147","153",1,0.00192737645516922,1,0.00770950582067689
"148","154",1,0.00192737645516922,NA,NA
"149","155",3,0.00578212936550767,NA,NA
"150","156",3,0.00578212936550767,NA,NA
"151","157",4,0.00770950582067689,3,0.0231285174620307
"152","160",1,0.00192737645516922,1,0.00770950582067689
"153","161",1,0.00192737645516922,NA,NA
"154","162",2,0.00385475291033845,3,0.0231285174620307
"155","163",2,0.00385475291033845,1,0.00770950582067689
"156","164",2,0.00385475291033845,NA,NA
"157","166",1,0.00192737645516922,NA,NA
"158","167",1,0.00192737645516922,NA,NA
"159","168",2,0.00385475291033845,NA,NA
"160","169",3,0.00578212936550767,NA,NA
"161","170",1,0.00192737645516922,1,0.00770950582067689
"162","171",2,0.00385475291033845,1,0.00770950582067689
"163","172",1,0.00192737645516922,NA,NA
"164","173",1,0.00192737645516922,NA,NA
"165","177",2,0.00385475291033845,1,0.00770950582067689
"166","179",2,0.00385475291033845,NA,NA
"167","180",2,0.00385475291033845,NA,NA
"168","181",1,0.00192737645516922,1,0.00770950582067689
"169","182",1,0.00192737645516922,NA,NA
"170","183",2,0.00385475291033845,NA,NA
"171","184",3,0.00578212936550767,NA,NA
"172","185",1,0.00192737645516922,NA,NA
"173","187",1,0.00192737645516922,NA,NA
"174","188",1,0.00192737645516922,1,0.00770950582067689
"175","189",1,0.00192737645516922,NA,NA
"176","190",2,0.00385475291033845,1,0.00770950582067689
"177","191",3,0.00578212936550767,NA,NA
"178","192",3,0.00578212936550767,NA,NA
"179","193",1,0.00192737645516922,NA,NA
"180","195",1,0.00192737645516922,NA,NA
