"","Observed_Value","traintest NObs","traintest %","handin NObs","handin %"
"1","0",47205,90.9818055662632,11854,91.3884819983039
"2","1",3817,7.35679592938093,904,6.96939326189191
"3","2",519,1.00030838023283,114,0.878883663557166
"4","3",168,0.32379924446843,52,0.400894302675199
"5","4",77,0.14840798704803,21,0.161899622234215
"6","5",47,0.0905866933929535,10,0.0770950582067689
"7","6",19,0.0366201526482152,7,0.0539665407447383
"8","7",12,0.0231285174620307,3,0.0231285174620307
"9","8",5,0.00963688227584612,NA,NA
"10","9",3,0.00578212936550767,1,0.00770950582067689
"11","10",1,0.00192737645516922,1,0.00770950582067689
"12","11",2,0.00385475291033845,1,0.00770950582067689
"13","12",1,0.00192737645516922,1,0.00770950582067689
"14","14",3,0.00578212936550767,NA,NA
"15","16",2,0.00385475291033845,NA,NA
"16","17",1,0.00192737645516922,NA,NA
"17","19",2,0.00385475291033845,NA,NA
"18","20",NA,NA,1,0.00770950582067689
"19","25",NA,NA,1,0.00770950582067689
